date_start,date_end,site_count,rows,seconds,label,cache_hit,cache_path,model,scenario
2059-12-28,2060-12-26,3,1095,6.55,2059-12-28:2060-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2059-12-28_2060-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2060-12-27,2061-12-26,3,1095,4.97,2060-12-27:2061-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2060-12-27_2061-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2061-12-27,2062-12-26,3,1095,4.35,2061-12-27:2062-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2061-12-27_2062-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2062-12-27,2063-12-26,3,1095,7.34,2062-12-27:2063-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2062-12-27_2063-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2063-12-27,2064-12-25,3,1095,4.63,2063-12-27:2064-12-25 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2063-12-27_2064-12-25_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2064-12-26,2065-12-25,3,1095,5.9,2064-12-26:2065-12-25 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2064-12-26_2065-12-25_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2065-12-26,2066-12-25,3,1095,3.82,2065-12-26:2066-12-25 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2065-12-26_2066-12-25_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2066-12-26,2067-12-25,3,1095,5.51,2066-12-26:2067-12-25 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2066-12-26_2067-12-25_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2067-12-26,2068-12-24,3,1095,3.93,2067-12-26:2068-12-24 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2067-12-26_2068-12-24_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2068-12-25,2069-12-24,3,1095,4.69,2068-12-25:2069-12-24 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2068-12-25_2069-12-24_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2069-12-25,2070-12-24,3,1095,4.19,2069-12-25:2070-12-24 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2069-12-25_2070-12-24_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2070-12-25,2070-12-31,3,21,1.93,2070-12-25:2070-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/ACCESS-CM2/2070-12-25_2070-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp585
2041-01-01,2041-12-31,3,1095,6.32,2041-01-01:2041-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2041-01-01_2041-12-31_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2042-01-01,2042-12-31,3,1095,3.81,2042-01-01:2042-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2042-01-01_2042-12-31_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2043-01-01,2043-12-31,3,1095,5.82,2043-01-01:2043-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2043-01-01_2043-12-31_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2044-01-01,2044-12-30,3,1095,8.25,2044-01-01:2044-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2044-01-01_2044-12-30_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2044-12-31,2045-12-30,3,1095,4.68,2044-12-31:2045-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2044-12-31_2045-12-30_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2045-12-31,2046-12-30,3,1095,5.77,2045-12-31:2046-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2045-12-31_2046-12-30_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2046-12-31,2047-12-30,3,1095,5.37,2046-12-31:2047-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2046-12-31_2047-12-30_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2047-12-31,2048-12-29,3,1095,6.71,2047-12-31:2048-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2047-12-31_2048-12-29_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2048-12-30,2049-12-29,3,1095,5.56,2048-12-30:2049-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2048-12-30_2049-12-29_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2049-12-30,2050-12-29,3,1095,4.66,2049-12-30:2050-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2049-12-30_2050-12-29_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2050-12-30,2051-12-29,3,1095,4.57,2050-12-30:2051-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2050-12-30_2051-12-29_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2051-12-30,2052-12-28,3,1095,5.17,2051-12-30:2052-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2051-12-30_2052-12-28_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2052-12-29,2053-12-28,3,1095,5.88,2052-12-29:2053-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2052-12-29_2053-12-28_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2053-12-29,2054-12-28,3,1095,5.42,2053-12-29:2054-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2053-12-29_2054-12-28_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2054-12-29,2055-12-28,3,1095,3.89,2054-12-29:2055-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2054-12-29_2055-12-28_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2055-12-29,2056-12-27,3,1095,4.38,2055-12-29:2056-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2055-12-29_2056-12-27_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2056-12-28,2057-12-27,3,1095,7.6,2056-12-28:2057-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2056-12-28_2057-12-27_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2057-12-28,2058-12-27,3,1095,4.31,2057-12-28:2058-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2057-12-28_2058-12-27_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2058-12-28,2059-12-27,3,1095,4.54,2058-12-28:2059-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2058-12-28_2059-12-27_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2059-12-28,2060-12-26,3,1095,8.25,2059-12-28:2060-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2059-12-28_2060-12-26_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2060-12-27,2061-12-26,3,1095,5.37,2060-12-27:2061-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2060-12-27_2061-12-26_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2061-12-27,2062-12-26,3,1095,5.13,2061-12-27:2062-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2061-12-27_2062-12-26_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2062-12-27,2063-12-26,3,1095,5.2,2062-12-27:2063-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2062-12-27_2063-12-26_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2063-12-27,2064-12-25,3,1095,6.41,2063-12-27:2064-12-25 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2063-12-27_2064-12-25_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
2064-12-26,2065-12-25,3,1095,5.8,2064-12-26:2065-12-25 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp585/EC-Earth3/2064-12-26_2065-12-25_sites3_c0f7d05dac86.parquet,EC-Earth3,ssp585
