site,lat,lon,model,scenario,days,precip_mean_mm_day,precip_total_mm,tasmax_mean_c,tasmin_mean_c
Cusco,-13.5319,-71.9675,ACCESS-CM2,ssp585,10957,2.475,27113.732,20.679,6.246
Lodwar,3.119,35.5973,ACCESS-CM2,ssp585,10957,1.197,13119.209,38.073,27.816
Nairobi,-1.286,36.817,ACCESS-CM2,ssp585,10957,3.218,35263.449,28.323,17.495
Cusco,-13.5319,-71.9675,EC-Earth3,ssp585,10957,3.081,33762.318,20.321,6.134
Lodwar,3.119,35.5973,EC-Earth3,ssp585,10957,1.646,18032.285,37.563,27.18
Nairobi,-1.286,36.817,EC-Earth3,ssp585,10957,2.761,30251.785,28.109,17.023
Cusco,-13.5319,-71.9675,MRI-ESM2-0,ssp585,10957,2.271,24887.191,20.175,5.318
Lodwar,3.119,35.5973,MRI-ESM2-0,ssp585,10957,0.741,8123.325,37.733,26.026
Nairobi,-1.286,36.817,MRI-ESM2-0,ssp585,10957,2.11,23120.536,27.965,16.383
