date_start,date_end,site_count,rows,seconds,label,cache_hit,cache_path,model,scenario
2004-12-27,2005-12-26,3,1095,4.4,2004-12-27:2005-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2004-12-27_2005-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2005-12-27,2006-12-26,3,1095,7.7,2005-12-27:2006-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2005-12-27_2006-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2006-12-27,2007-12-26,3,1095,7.16,2006-12-27:2007-12-26 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2006-12-27_2007-12-26_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2007-12-27,2008-12-25,3,1095,5.47,2007-12-27:2008-12-25 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2007-12-27_2008-12-25_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2008-12-26,2009-12-25,3,1095,4.33,2008-12-26:2009-12-25 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2008-12-26_2009-12-25_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2009-12-26,2010-12-25,3,1095,10.16,2009-12-26:2010-12-25 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2009-12-26_2010-12-25_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2010-12-26,2011-12-25,3,1095,4.83,2010-12-26:2011-12-25 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2010-12-26_2011-12-25_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2011-12-26,2012-12-24,3,1095,11.54,2011-12-26:2012-12-24 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2011-12-26_2012-12-24_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2012-12-25,2013-12-24,3,1095,9.25,2012-12-25:2013-12-24 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2012-12-25_2013-12-24_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2013-12-25,2014-12-24,3,1095,8.52,2013-12-25:2014-12-24 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2013-12-25_2014-12-24_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
2014-12-25,2014-12-31,3,21,1.53,2014-12-25:2014-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/ACCESS-CM2/2014-12-25_2014-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,historical
1985-01-01,1985-12-31,3,1095,5.07,1985-01-01:1985-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1985-01-01_1985-12-31_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1986-01-01,1986-12-31,3,1095,7.99,1986-01-01:1986-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1986-01-01_1986-12-31_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1987-01-01,1987-12-31,3,1095,7.89,1987-01-01:1987-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1987-01-01_1987-12-31_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1988-01-01,1988-12-30,3,1095,10.24,1988-01-01:1988-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1988-01-01_1988-12-30_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1988-12-31,1989-12-30,3,1095,7.1,1988-12-31:1989-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1988-12-31_1989-12-30_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1989-12-31,1990-12-30,3,1095,4.94,1989-12-31:1990-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1989-12-31_1990-12-30_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1990-12-31,1991-12-30,3,1095,6.44,1990-12-31:1991-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1990-12-31_1991-12-30_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1991-12-31,1992-12-29,3,1095,8.96,1991-12-31:1992-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1991-12-31_1992-12-29_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1992-12-30,1993-12-29,3,1095,6.0,1992-12-30:1993-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1992-12-30_1993-12-29_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1993-12-30,1994-12-29,3,1095,5.8,1993-12-30:1994-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1993-12-30_1994-12-29_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
1994-12-30,1995-12-29,3,1095,4.97,1994-12-30:1995-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/historical/EC-Earth3/1994-12-30_1995-12-29_sites3_c0f7d05dac86.parquet,EC-Earth3,historical
