date_start,date_end,site_count,rows,seconds,label,cache_hit,cache_path,model,scenario
2041-01-01,2041-12-31,3,1095,3.84,2041-01-01:2041-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2041-01-01_2041-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2042-01-01,2042-12-31,3,1095,6.33,2042-01-01:2042-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2042-01-01_2042-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2043-01-01,2043-12-31,3,1095,4.57,2043-01-01:2043-12-31 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2043-01-01_2043-12-31_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2044-01-01,2044-12-30,3,1095,5.46,2044-01-01:2044-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2044-01-01_2044-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2044-12-31,2045-12-30,3,1095,4.67,2044-12-31:2045-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2044-12-31_2045-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2045-12-31,2046-12-30,3,1095,5.33,2045-12-31:2046-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2045-12-31_2046-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2046-12-31,2047-12-30,3,1095,4.25,2046-12-31:2047-12-30 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2046-12-31_2047-12-30_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2047-12-31,2048-12-29,3,1095,3.87,2047-12-31:2048-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2047-12-31_2048-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2048-12-30,2049-12-29,3,1095,6.22,2048-12-30:2049-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2048-12-30_2049-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2049-12-30,2050-12-29,3,1095,1.94,2049-12-30:2050-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2049-12-30_2050-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2050-12-30,2051-12-29,3,1095,4.75,2050-12-30:2051-12-29 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2050-12-30_2051-12-29_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2051-12-30,2052-12-28,3,1095,5.86,2051-12-30:2052-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2051-12-30_2052-12-28_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2052-12-29,2053-12-28,3,1095,5.41,2052-12-29:2053-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2052-12-29_2053-12-28_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2053-12-29,2054-12-28,3,1095,4.76,2053-12-29:2054-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2053-12-29_2054-12-28_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2054-12-29,2055-12-28,3,1095,5.11,2054-12-29:2055-12-28 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2054-12-29_2055-12-28_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2055-12-29,2056-12-27,3,1095,5.45,2055-12-29:2056-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2055-12-29_2056-12-27_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2056-12-28,2057-12-27,3,1095,5.51,2056-12-28:2057-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2056-12-28_2057-12-27_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
2057-12-28,2058-12-27,3,1095,4.36,2057-12-28:2058-12-27 | Nairobi..Cusco (3 sites),False,analysis/cache/nex_gddp_many_points/v1/ssp245/ACCESS-CM2/2057-12-28_2058-12-27_sites3_c0f7d05dac86.parquet,ACCESS-CM2,ssp245
