site,lat,lon,model,scenario,days,precip_mean_mm_day,precip_total_mm,tasmax_mean_c,tasmin_mean_c
Cusco,-13.5319,-71.9675,ACCESS-CM2,ssp245,365,2.089,762.621,19.212,5.206
Lodwar,3.119,35.5973,ACCESS-CM2,ssp245,365,1.096,400.133,36.65,26.127
Nairobi,-1.286,36.817,ACCESS-CM2,ssp245,365,3.316,1210.428,27.494,16.444
Cusco,-13.5319,-71.9675,EC-Earth3,ssp245,365,2.402,876.905,20.54,5.77
Lodwar,3.119,35.5973,EC-Earth3,ssp245,365,2.081,759.631,36.498,26.469
Nairobi,-1.286,36.817,EC-Earth3,ssp245,365,3.754,1370.313,27.273,16.943
Cusco,-13.5319,-71.9675,MRI-ESM2-0,ssp245,365,2.459,897.48,19.179,4.609
Lodwar,3.119,35.5973,MRI-ESM2-0,ssp245,365,0.69,251.925,37.139,25.185
Nairobi,-1.286,36.817,MRI-ESM2-0,ssp245,365,2.183,796.615,26.84,15.481
