"Site.ID","Latitude","Longitude","Study.Start","Study.End","fixed_season"
"Mashitsi Research Station",-3.367,29.85,1989,1994,"Oct:Feb,Feb:Jun"
"Misamfu ARS",-10.174,31.226,1983,1991,"Nov:Apr"
"Murewa-HF_CLAY",-17.652,31.798,2001,2009,"Oct:Apr"
"Murewa-OF_CLAY",-17.652,31.798,2001,2009,"Oct:Apr"
"Murewa-HF_SANDY",-17.652,31.798,2001,2009,"Oct:Apr"
"Murewa-OF_SANDY",-17.652,31.798,2001,2009,"Oct:Apr"
"NARL, Kabete",-1.25,36.73,1976,1994,"Mar:May,d-Oct:Dec"
"Ngwazi, Mufindi",-8.541,35.169,1971,1988,"d-Nov:May"
"Nioro",13.7585,-15.787,2003,2015,"July:Sep"
"Nkhande",-14.78333,34.6,1984,1991,"Nov:May"
"Nyabeda",0.1296,34.4055,2003,2008,"Mar:Aug,Sep:Jan"
"South-western",5.66667,-6.71667,1989,2005,"Mar:Jun,Sep:Oct"
"University of Ibadan Research Farm",7.444,3.9,2002,2008,"d-Mar:Aug,d-Aug:d-Oct"
"Ibadan",7.40241,3.90691,1976,1980,"e-Mar:-July,e-Aug:Nov"
"AREX Training Centre farm, Domboshava",-17.58333,31.16667,1993,2006,"Nov:Mar"
"Embu",-0.5,37.66667,2012,2015,"Mar:d-Aug,Sep:Jan"
"Machanga",-0.78333,37.66667,2012,2015,"Mar:d-Aug,Sep:Jan"
"Nyabeda",0.1296,34.4055,2012,2015,"Mar:d-Aug,Sep:Jan"
"Teso",0.56667,34.18333,2012,2015,"Mar:d-Aug,Sep:Jan"
"Aludeka Site",0.574,34.191,2002,2021,"March:Aug,Sep:Jan"
"Embu Site",-0.517,37.459,2002,2021,"March:y-Sep,Oct:y-Feb"
"Machanga Site",-0.793,37.664,2002,2021,"March:Aug,Oct:y-Feb"
"Sidada Site",0.143,34.422,2002,2021,"March:Aug,Sep:Jan"
"IITA, Ibadan",7.498,3.903,1989,2001,"Apr:Nov"
"Tembwe EPA",-13.76667,34.45,2010,2019,"Nov:Apr"
"Gourton Farm",-28.92412,29.56073,2002,2017,"Oct:Mar"
"Kouve",6.68333,1.41667,1972,1991,"Apr:July,Sep:Nov"
"Chitedze ARS",-13.97375,33.65276,2007,2017,"Dec:Apr"
"Bako Agricultural Research Center",9.1,37.15,2017,2019,"May:Aug"
"Bishola",8.4,39.03333,2017,2019,"May:Aug"
"IDESSA, Institut des Savanes",6.13333,-5.93333,1971,1993,"Feb:Nov"
"Domboshava",-18.16667,31.16667,2019,2021,"Nov:Mar"
"University of Zimbabwe Farm",-17.7242,31.0199,2019,2021,"Nov:Mar"
"ICRISAT, Sadore",13.2343,2.284,2011,2018,"Jun:Oct"
"Chitedze ARS",-13.97375,33.65276,2007,2017,"Nov:e-Mar"
"ICRISAT, Sadore",13.2343,2.284,1994,2019,"Jun:Sep"
"Regional Agricultural Research Station, Parwanipur, Nepal.",27.07,84.929,1978,1998,"d-Jun:e-Sep"
"Punjab Agricultural University (PAU), Ludhiana.",30.9042,75.8064,1988,2000,"Jun:Sep"
"Indian Institute of Farming Systems Research (IIFSR), Modipuram",29.076809,77.704873,1993,2011,"July:Sep"
"Bangladesh Agricultural Research Institute (BARI)",24.38333,90.13333,2007,2012,"d-Mar:d-Oct"
"ICAR-Vivekananda Parvatiya Krishi Anusandhan Sansthan (VPKAS), Almora",29.584919,79.648957,1995,2016,"Jun:Sep"
"ICAR-Vivekananda Experimental Farm",29.5895,79.644,2000,2017,"Jun:Sep"
"Regional Agricultural Research Station, Parwanipur, Nepal.",27.0775,84.929724,1979,1999,"d-Jun:e-Sep"
"Indian Institute of Soil Science, Bhopal",23.30655,77.40703,2000,2007,"Jun:Sep"
"OUAT, Bhubaneswar",20.264298,85.806349,2005,2014,"Jun:Sep"
"JNKVV-Experimental Farm",23.2154,79.966,1972,2015,"Jun:Sep"
"RRSKA, Kandi",31.0998,76.3869,2000,2006,"July:Sep"
"College of Agriculture, Chaudhary Sarwan Kumar Himachal Pradesh Agricultural University, Palampur, HP,",32.1,76.5466,1991,2010,"Jun:Sep,Dec:Feb"
"Gunegal Research Farm..Gunegal Research Farm-II",17.1,78.66667,1994,2004,"Jun:Sep,NA:NA"
"CSKHPKV-Experimental Farm",32.09674,76.54627,1972,2018,"Jun:Sep"
"Bangladesh Rice Research Institute, (BRRI) Gazipur",23.9919,90.4072,1985,2015,"July:Dec"
"Agricultural Research Station, University of Agricultural Sciences, GKVK campus, Bengaluru, Karnataka.",13.0821,77.577,1992,2004,"Jun:Sep"
